          vname       code                                                                                                   short
257    nperroom        100                                                                                                      10
258    nperroom        110                                                                                                      11
259    nperroom        115                                                                                                    11.5
260    nperroom        120                                                                                                      12
261    nperroom        130                                                                                                      13
262    nperroom        140                                                                                                      14
263    nperroom        150                                                                                                     15+
264    nperroom        999                                                                                                     NIU
265    nbedroom          1                                                                                                       1
266    nbedroom          2                                                                                                       2
267    nbedroom          3                                                                                                       3
268    nbedroom          4                                                                                                       4
269    nbedroom          5                                                                                                       5
270    nbedroom          6                                                                                                       6
271    nbedroom          7                                                                                                       7
272    nbedroom          8                                                                                                       8
273    nbedroom          9                                                                                                      9+
274    nbedroom         99                                                                                                     NIU
275    nperbdrm         10                                                                                                       1
276    nperbdrm         11                                                                                                     1.1
277    nperbdrm         12                                                                                                     1.2
278    nperbdrm         13                                                                                                     1.3
279    nperbdrm         14                                                                                                     1.4
280    nperbdrm         15                                                                                                     1.5
281    nperbdrm         16                                                                                                     1.6
282    nperbdrm         17                                                                                                     1.7
283    nperbdrm         18                                                                                                     1.8
284    nperbdrm         19                                                                                                     1.9
285    nperbdrm         20                                                                                                       2
286    nperbdrm         21                                                                                                     2.1
287    nperbdrm         22                                                                                                     2.2
288    nperbdrm         23                                                                                                     2.3
289    nperbdrm         24                                                                                                     2.4
290    nperbdrm         25                                                                                                     2.5
291    nperbdrm         26                                                                                                     2.6
292    nperbdrm         27                                                                                                     2.7
293    nperbdrm         28                                                                                                     2.8
294    nperbdrm         29                                                                                                     2.9
295    nperbdrm         30                                                                                                       3
296    nperbdrm         31                                                                                                     3.1
297    nperbdrm         32                                                                                                     3.2
298    nperbdrm         33                                                                                                     3.3
299    nperbdrm         34                                                                                                     3.4
300    nperbdrm         35                                                                                                     3.5
301    nperbdrm         36                                                                                                     3.6
302    nperbdrm         37                                                                                                     3.7
303    nperbdrm         38                                                                                                     3.8
304    nperbdrm         39                                                                                                     3.9
305    nperbdrm         40                                                                                                       4
306    nperbdrm         42                                                                                                     4.2
307    nperbdrm         43                                                                                                     4.3
308    nperbdrm         44                                                                                                     4.4
309    nperbdrm         45                                                                                                     4.5
310    nperbdrm         46                                                                                                     4.6
311    nperbdrm         47                                                                                                     4.7
312    nperbdrm         48                                                                                                     4.8
313    nperbdrm         50                                                                                                       5
314    nperbdrm         53                                                                                                     5.3
315    nperbdrm         55                                                                                                     5.5
316    nperbdrm         56                                                                                                     5.6
317    nperbdrm         57                                                                                                     5.7
318    nperbdrm         60                                                                                                       6
319    nperbdrm         62                                                                                                     6.2
320    nperbdrm         63                                                                                                     6.3
321    nperbdrm         65                                                                                                     6.5
322    nperbdrm         67                                                                                                     6.7
323    nperbdrm         68                                                                                                     6.8
324    nperbdrm         70                                                                                                       7
325    nperbdrm         73                                                                                                     7.3
326    nperbdrm         75                                                                                                     7.5
327    nperbdrm         80                                                                                                       8
328    nperbdrm         83                                                                                                     8.3
329    nperbdrm         85                                                                                                     8.5
330    nperbdrm         87                                                                                                     8.7
331    nperbdrm         90                                                                                                       9
332    nperbdrm         93                                                                                                     9.3
333    nperbdrm         95                                                                                                     9.5
334    nperbdrm        100                                                                                                      10
335    nperbdrm        105                                                                                                    10.5
336    nperbdrm        110                                                                                                      11
337    nperbdrm        115                                                                                                    11.5
338    nperbdrm        120                                                                                                      12
339    nperbdrm        125                                                                                                    12.5
340    nperbdrm        130                                                                                                      13
